disaster_id,request_date,determination_date,notes
3,1994,1994,to do
6,1995,1995,to do
7,1997,1997,to do
11,1998,1998,to do
17,2000,2000,to do
18,2000,2000,to do
19,2000,2002,to do
21,2001,2001,to do
22,2002,2003,to do
25,2003,2005,to do
31,2006,2007,to do
33,2007,2011,to do
36,2008,2008,to do
38,2007,2008,to do
43,2009,2009,to do
47,2009,2011,to do
50,2010,2010,to do
53,2010,2011,to do
63,2013,2014,to do
65,2015,2017,to do
66,2015,2017,to do
67,2016,2017,to do
68,2016,2017,to do
69,2016,2017,to do
70,2016,2017,to do
71,2016,2017,to do
72,2016,2017,to do
73,2016,2018,to do
74,2017,2018,to do
80,2018,2018,to do
81,2018,2019,to do
85,2018,2019,to do
86,2019,2019,to do
87,2019,2019,to do
92,2019,2021,to do
93,2019,2021,to do
95,2020,2022,to do
96,2020,2021,to do
98,2020,2023,to do
99,2020,2022,to do
100,2020,2022,to do
104,2021,2022,to do
105,2021,2022,to do
106,2021,2022,to do
107,2021,2022,to do
108,2021,2022,to do
109,2021,2022,to do
110,2021,2022,to do
111,2021,2024,to do
112,2021,2023,to do
114,2021,2023,to do
115,2021,2022,to do
116,2022,2022,to do
118,2022,2023,to do
119,2022,2022,to do
120,2022,2023,to do
121,2022,2022,to do
123,2022,2022,to do
126,2022,2022,to do
127,2022,2023,to do
132,2023,2024,to do
136,2023,2024,to do
138,2023,2024,to do
140,2023,2024,to do
141,2024,2024,to do
142,2024,2024,to do
148,2024,2024,to do
