event_id,year
1,1992
1,1993
1,1994
1,1995
2,1997
2,1998
2,1999
2,2000
3,1999
4,2001
5,2008
5,2009
5,2010
6,2007
6,2008
6,2009
7,2013
7,2014
8,2015
9,2015
10,2015
11,2015
12,2016
13,2016
14,2015
15,2016
15,2017
16,2016
17,2018
18,2018
19,2019
20,2019
21,2015
21,2016
21,2017
21,2019
22,2017
22,2019
23,2019
24,2020
25,2018
25,2020
26,2018
26,2020
27,2019
28,2020
29,2020
29,2021
29,2022
30,2018
30,2019
30,2020
31,2023
32,2019
32,2020
32,2021
33,2021
33,2022
33,2023
34,2021
34,2022
34,2023
35,2000
35,2001
35,2002
35,2003
35,2004
35,2005
35,2006
35,2007
35,2008
36,2016
36,2017
36,2018
36,2019
37,2019
38,2019
38,2020
